"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","us_states"
"Can machine learning be curious learning? @VT_DAC @profnaren on  @RadioArlington WERA 96.7FM, 3/7, 10am,… https://t.co/bzQJLh02Fn",FALSE,2,NA,"3/2/2018 16:35",TRUE,NA,9.7e+17,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","Choose2BCurious",1,FALSE,FALSE,-77.0909809,38.8816208,"Arlington, VA",NA
"RT @gerardgallagher: The percentage of outpatient visits attributed to #flu declined for a 3rd straight week, falling to 5% after hitting a…",FALSE,0,NA,"3/2/2018 16:33",FALSE,NA,9.7e+17,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","InfectiousDz",9,TRUE,FALSE,-74.0059728,40.7127753,"NYC",NA
"RT @nycHealthy: .@Walgreens locations in all 5 boroughs of NYC are offering FREE #flu shots to NYers without health insurance. Supplies are…",FALSE,0,NA,"3/2/2018 16:31",FALSE,NA,9.7e+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sheilastainback",5,TRUE,FALSE,-74.0059728,40.7127753,"nyc",NA
"How long are you contagious with the #Flu? https://t.co/AVZJtp9GXV",FALSE,0,NA,"3/2/2018 16:31",FALSE,NA,9.7e+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","goodsam",0,FALSE,FALSE,-96.7311034,43.5445959,"Sioux Falls, S.D.","South Dakota"
"The #flu has really taken a toll on Texas this year.  The Texas Dept of State Health Services has reported that mor… https://t.co/WmBl8TxoNL",FALSE,3,NA,"3/2/2018 16:30",TRUE,NA,9.7e+17,NA,"<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","famfightflu",3,FALSE,FALSE,-77.0909809,38.8816208,"Arlington, VA","Virginia"
"#Flu has peaked for the season, CDC says #finally",FALSE,0,NA,"3/2/2018 16:30",FALSE,NA,9.7e+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MikeHeardCNN",0,FALSE,FALSE,-84.3879824,33.7489954,"Atlanta ",NA
".@Walgreens locations in all 5 boroughs of NYC are offering FREE #flu shots to NYers without health insurance. Supp… https://t.co/ZEDxrV07ra",FALSE,7,NA,"3/2/2018 16:30",TRUE,NA,9.7e+17,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","nycHealthy",5,FALSE,FALSE,-74.0059728,40.7127753,"New York, NY",NA
"RT @gerardgallagher: The percentage of outpatient visits attributed to #flu declined for a 3rd straight week, falling to 5% after hitting a…",FALSE,0,NA,"3/2/2018 16:29",FALSE,NA,9.7e+17,NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","CareFrameOne",9,TRUE,FALSE,-71.3824374,42.4072107,"Massachusetts, USA","Massachusetts"
"#CDC said it expects to likely see more pediatric #influenza deaths before the 2017-18 season is over.
#flu… https://t.co/WthzlvNKSM",FALSE,0,NA,"3/2/2018 16:27",TRUE,NA,9.7e+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DonnaYoungDC",0,FALSE,FALSE,-120.7401385,47.7510741,"Washington","Washington"
"RT @CDCFlu: #FluFact: Did you know you can get #flu more than once a season? More than one flu virus is circulating, which is why flu vacci…",FALSE,0,NA,"3/2/2018 16:26",FALSE,NA,9.7e+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PHNHealth",135,TRUE,FALSE,-77.1945247,41.2033216,"Pennsylvania & Ohio","Pennsylvania"
"RT @Medscape: The #flu epidemic has put Otitis Media in the spotlight. https://t.co/9RIgnXFwnI #ClinicalTrends https://t.co/41KjXEUKVJ",FALSE,0,NA,"3/2/2018 16:25",FALSE,NA,9.7e+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","soca2k2",36,TRUE,FALSE,-90.343599,38.5490014,"USA, Worldwide","Missouri"
"RT @CDCgov: Flu Fact: Did you know you can get flu more than once a season? Multiple flu viruses are circulating, which is why #flu vaccina…",FALSE,0,NA,"3/2/2018 16:23",FALSE,NA,9.7e+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","soca2k2",189,TRUE,FALSE,-90.343599,38.5490014,"USA, Worldwide","Missouri"
